ID,タスク名,カテゴリ,優先度,ステータス,担当者,期限,関連案件,備考
1,OCRライブラリの選定,OCR機能,P1,未着手,,,案件共通,Tesseract / Cloud Vision API
2,法務局API連携,API連携,P1,未着手,,,案件共通,
3,レスポンシブデザイン実装,UI/UX,P1,未着手,,,案件共通,
4,用語データベース構築,用語ツールチップ,P2,未着手,,,案件共通,
5,ダッシュボード実装,ダッシュボード,P1,未着手,,,案件共通,
6,世田谷区_登記取得,調査タスク,P1,完了,田中一郎,2024-03-15,案件_2024_001,
7,世田谷区_用途地域確認,調査タスク,P1,完了,田中一郎,2024-03-15,案件_2024_001,
8,横浜市_道路台帳取得,調査タスク,P1,完了,佐藤次郎,2024-03-20,案件_2024_002,
9,横浜市_開発登録簿確認,調査タスク,P1,完了,佐藤次郎,2024-03-20,案件_2024_002,
10,さいたま市_景観証明取得,調査タスク,P1,完了,伊藤美咲,2024-03-18,案件_2024_003,
11,船橋市_埋蔵文化財確認,調査タスク,P1,完了,中村健太,2024-03-22,案件_2024_004,
12,船橋市_液状化マップ確認,調査タスク,P1,完了,中村健太,2024-03-22,案件_2024_004,
13,東京23区フロー作成,ガイド作成,P2,未着手,,,案件共通,
14,埼玉県主要市フロー作成,ガイド作成,P2,未着手,,,案件共通,
15,Service Worker実装,PWA対応,P1,未着手,,,案件共通,
